analysis_time_clusters,dgp_years,esg_persistence,esg_variance_scale,first_stage_n,second_stage_n,repetitions,independent_master_seeds,mean_second_stage_n,mean_beta_interaction,mcse_beta_interaction,firm_rejection_5pct,firm_mcse,two_way_rejection_5pct,two_way_mcse,mean_error_interaction_covariance
8,10,0.25,0.0,3000,2400,1000,2,2400.0,0.00023084610892130586,0.0026638222375577887,0.063,0.007683163410991596,0.085,0.008819013550278738,-6.937607334185452e-05
8,10,0.6,0.0,3000,2400,1000,2,2400.0,0.0029412532962351206,0.0026101585181261275,0.051,0.00695693898205238,0.074,0.00827792244467173,-8.588406580621e-05
8,10,0.95,0.0,3000,2400,1000,2,2400.0,0.0017234432459245332,0.0025866478368516037,0.067,0.007906389820898032,0.099,0.009444522221901964,-0.00010708270912296697
8,10,0.25,1.0,3000,2400,1000,2,2400.0,6.930842973575891e-05,0.002666067509464433,0.053,0.00708456067798138,0.081,0.008627803892068943,-6.816171398012788e-05
8,10,0.6,1.0,3000,2400,1000,2,2400.0,0.003086905286951879,0.002578010429423058,0.054,0.007147307185227175,0.071,0.008121514637061242,-8.453630875247872e-05
8,10,0.95,1.0,3000,2400,1000,2,2400.0,0.0033779791915300233,0.002557364498563538,0.051,0.00695693898205238,0.087,0.00891240708226459,-0.00010523607158637518
28,30,0.25,0.0,9000,8400,1000,2,8400.0,0.00043112949508484555,0.001214543691535529,0.039,0.006122009474020765,0.043,0.006414904519944158,-3.6315737442648003e-05
28,30,0.6,0.0,9000,8400,1000,2,8400.0,-0.0005924119206915404,0.0012755804480755481,0.063,0.007683163410991596,0.071,0.008121514637061242,-4.0091366660535185e-05
28,30,0.95,0.0,9000,8400,1000,2,8400.0,0.00011969058176638214,0.001437584692909805,0.06,0.007509993342207435,0.078,0.008480330182251162,-4.134438810160103e-05
28,30,0.25,1.0,9000,8400,1000,2,8400.0,0.00025974725664224343,0.0012050314670202684,0.043,0.006414904519944158,0.056,0.007270763371201128,-3.5719409147905004e-05
28,30,0.6,1.0,9000,8400,1000,2,8400.0,-0.00027938536503408683,0.001323230984674453,0.072,0.008174105455644672,0.081,0.008627803892068943,-3.885982208786722e-05
28,30,0.95,1.0,9000,8400,1000,2,8400.0,-0.0009568266571056237,0.0014103058176602897,0.057,0.007331507348424334,0.065,0.007795832219846705,-4.2388834074432223e-05
